"Trial","WMD","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
2,23,0.332658986,0.173455068,0.194897894,0.529460617,0.462241178,0.250984687,0.423580199,0.887782928,1.166830753,-0.524748552,0.055261945,-0.022182899,0.551198904,0.979905098,0.719353883,-0.030905637,NA
2,24,0.031543785,0.402246047,0.668238373,0.549377324,-0.164810931,0.220252847,0.778768751,0.112186947,0.597311676,0.476708576,0.821427266,0.475238021,-0.738001267,0.958783507,0.287511957,-2.331802966,NA
2,25,0.890398056,0.094766278,0.758398991,0.739773666,-0.131489908,-0.131237066,0.809754281,-0.082624045,-0.6319711,0.845675155,-0.16762155,0.000884111,0.551531888,1.37191254,-0.502050544,-0.289079718,NA
3,1,0.782527809,0.59728709,0.266225111,0.431383776,0.579073819,0.475665728,-0.833890819,-0.431804363,1.379034565,-0.008189252,-2.288901266,0.823317162,NA,NA,NA,NA,NA
3,2,0.133233879,0.205544449,0.141981839,0.309196649,0.299451398,-0.142108539,-0.49871737,0.075197509,0.235012659,0.842683902,0.858741343,-0.53375599,NA,NA,NA,NA,NA
3,3,-0.377425907,-0.245604914,0.157023059,0.361591059,-0.208820921,-0.378619425,0.211511122,1.062715886,0.079123683,-0.522158149,-0.22683298,0.234654371,NA,NA,NA,NA,NA
3,4,0.145342774,0.247511493,0.304474759,-0.094224147,0.866113073,0.035525731,0.718185116,0.543995231,0.751894733,0.973141579,0.818381555,-2.72198064,NA,NA,NA,NA,NA
3,5,-0.143826602,0.053956307,0.487417579,0.376627201,0.127425821,-0.123192583,-0.110957751,-0.226471131,0.33290058,0.955453129,-0.269090281,-0.228475764,NA,NA,NA,NA,NA
3,6,0.24842211,0.721382876,-0.06746123,-0.006499607,-0.301614774,0.757662863,0.035747679,-0.165958968,0.506160089,0.444384978,-0.231166855,-0.916214066,NA,NA,NA,NA,NA
3,7,0.189994906,-0.710804862,-0.36931151,-0.34486069,0.167069831,-0.822717914,-0.66322491,0.378546858,0.381897656,-0.355429976,-1.388977759,-0.156244424,NA,NA,NA,NA,NA
3,8,-0.045632296,-0.507823513,-1.051331852,-0.298424037,-0.241050501,-0.262092917,-0.15624454,-0.389897075,-0.589960063,-0.461295318,-0.287270453,-0.365450602,NA,NA,NA,NA,NA
3,9,0.074945303,0.128203649,-0.836525303,-0.256313584,-0.324339324,-0.196347917,-0.353708683,-0.212476544,0.108742609,-0.16767558,-0.801942666,-1.262868058,NA,NA,NA,NA,NA
3,10,0.056142179,0.070746021,0.004793465,-0.602557349,-0.375790057,0.044354329,-0.167955658,0.125057897,0.221292894,-0.326421544,-0.255949251,-1.044748194,NA,NA,NA,NA,NA
3,11,-0.266273737,0.354560911,0.316101974,0.516858289,0.383564759,-0.191363414,0.149215317,-0.038173802,0.029310542,0.022151879,0.479864918,1.082382586,NA,NA,NA,NA,NA
3,12,-0.368026692,-0.271424013,-0.237857621,-0.154077504,-0.323568187,-0.5232422,-0.039043044,-0.146193064,-0.046500523,-0.270145382,-0.14937246,-0.407882483,NA,NA,NA,NA,NA
