Age,Model,Trial,,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
A,K,1,17,27.61984,41.288,47.30752,13.81952,10.30048,18.30016,2.37536,37.57184,38.8,37.584,24.54496,30.80992,23.51104,46.9504,38.88608,90.79872
A,K,1,18,115.76928,85.53088,96.75776,72.36064,118.60864,81.24,82.11808,85.63136,67.2224,52.76224,42.02496,42.88832,33.84256,37.93664,47.39264,51.37856
A,K,1,19,115.056,97.61184,83.9216,95.30176,88.50624,102.99616,83.71648,130.63104,94.74304,78.81248,88.4192,79.8656,92.56832,76.30304,89.63904,88.66464
A,K,1,20,22.13984,82.31008,37.67392,61.50848,40.58272,57.02528,3.28608,35.98656,42.52,19.16128,36.42048,17.42688,25.83328,30.52576,30.76384,39.18336
A,K,1,21,28.32992,31.44192,23.42848,37.10016,46.66976,22.47776,2.98368,40.3648,16.31264,22.92544,5.66208,47.14528,15.38944,32.05664,16.91264,62.4064
A,K,1,22,-21.1824,-75.16384,-43.47072,-62.98944,-32.59744,-75.15712,-43.1296,-36.30816,-2.58688,-63.63616,0.5424,-13.02944,-7.17344,-9.10688,-3.99552,23.21632
A,K,1,23,-59.81824,-88.51328,-61.3296,-38.0112,-47.01824,-66.92896,-37.31232,-71.81248,-53.62112,-79.92928,-79.30752,-82.64352,-39.32192,-80.89248,-56.27904,-45.31328
A,K,1,24,-287.74688,-391.86176,-372.31168,-385.95648,-449.15968,-493.57312,-565.08128,-502.82528,-556.30496,-679.20288,-659.72992,-732.1056,-775.18272,-818.0832,-806.29184,-810.02016
A,K,1,25,71.36704,3.35872,35.26432,-40.05056,7.9744,-42.3616,-45.93984,-19.68512,-3.91008,-44.51264,-26.17568,-28.8064,-14.55456,-15.45472,-22.79424,-3.15776
J,K,1,1,-71.54816,-295.7952,-129.35904,-154.0176,-217.08224,-271.8816,-88.21824,-213.20672,-333.11584,-297.26912,-225.26976,-290.5136,-302.15904,-274.1984,-141.68352,-172.66656
J,K,1,2,224.49184,10.75808,122.34784,64.75296,135.44384,62.00544,147.23296,95.25696,68.12768,109.1472,118.29664,82.09408,131.01248,98.84928,140.1568,149.30272
J,K,1,3,386.75104,451.2608,311.9472,347.85088,241.98976,219.37376,208.05408,161.47712,121.58656,136.41824,117.61088,102.77728,71.6992,94.90464,31.75872,63.03072
J,K,1,4,417.18304,68.43168,303.73152,140.32992,219.1344,134.83936,139.39776,129.23584,83.8736,76.1904,96.23104,92.62016,75.63808,67.80896,70.77792,73.19296
J,K,1,5,190.40224,396.69408,185.31456,294.53632,188.86848,233.28256,188.91328,222.784,154.91488,155.37952,124.90592,94.07104,67.84448,84.1952,74.94688,83.3888
J,K,1,6,-100.86848,-288.32,-140.19168,-284.97152,-315.88672,-347.6,-305.87264,-325.39328,-398.62208,-408.66464,-429.83648,-455.9072,-471.34944,-500.23104,-499.04096,-475.74432
J,K,1,7,-145.04128,-4.91264,33.04192,28.17248,-24.63232,2.4416,-3.22368,26.77504,14.39392,34.62016,56.98592,-8.04672,25.76576,22.78144,37.76864,47.34272
J,K,1,8,85.93792,454.30336,212.83008,309.59936,228.54816,280.75872,206.1488,197.4272,161.75072,150.25984,166.82976,139.95072,169.06976,146.80896,163.50592,107.56352
J,K,1,9,361.16608,291.06336,350.04992,300.08864,308.21632,249.35456,257.36384,258.59392,179.2048,235.61408,250.16448,156.45696,181.43584,175.59008,168.75712,164.75136
J,K,1,10,235.62464,288.93408,180.62464,262.27904,197.8496,212.816,190.61504,204.01792,113.34208,155.3552,132.50304,127.2832,85.624,146.1936,144.11744,183.2032
J,K,1,11,-141.27168,-217.31424,-172.68352,-196.24032,-223.79424,-310.73792,-143.28512,-234.4784,-280.48352,-334.46752,-320.67424,-350.92928,-373.56192,-362.92128,-337.22336,-365.28256
J,K,1,12,58.52256,103.32096,97.40672,127.29088,110.44736,124.95456,195.664,150.60704,0.86848,163.4384,76.81504,217.65184,165.05312,251.40576,219.46592,271.5424
